date,source,destination,distance_km,congestion_index,time_of_day,weather,day_of_week,festival,actual_travel_time_min,road_type
19-01-2023,Western Express Highway,Andheri,7.35,0.81,11:44,Clear,Thursday,,21.4,urban
05-07-2022,CST,Airoli,36.41,0.87,14:01,Rain,Tuesday,,147,urban
10-04-2024,Vashi,Mohammad Ali Road,29.16,0.57,02:30,Clear,Wednesday,Eid,52,freeway
09-05-2022,Airoli,Bhandup,7.7,0.96,06:26,Clear,Monday,,72.1,congested
23-03-2023,Ghatkopar,Juhu,11.13,1,08:25,Heavy Rain,Thursday,Ramadan Evenings,68.2,urban
01-11-2024,Sion,Kalyan,41.68,0.45,22:46,Clear,Friday,Diwali,58.1,freeway
10-03-2023,CST,Bhandup,36.32,0.2,03:07,Cloudy,Friday,,35.5,freeway
26-06-2023,Bhandup,Matunga,22.41,0.83,00:46,Cloudy,Monday,,69.8,urban
22-01-2022,Borivali,Fort,37.35,0.35,06:42,Cloudy,Saturday,,39.7,freeway
07-09-2024,Eastern Freeway Start,Powai,10.16,0.87,15:54,Rain,Saturday,Ganesh Chaturthi,37.6,urban
31-01-2022,Fort,Juhu,24.33,0.91,09:30,Clear,Monday,,108.8,urban
15-08-2024,Girgaon,Belapur,26.07,0.61,20:36,Rain,Thursday,Independence Day,52.5,freeway
11-05-2024,Dombivli,Thane,21.5,0.74,03:51,Clear,Saturday,,67.7,urban
31-08-2022,Goregaon,Bhandup,15.18,0.92,04:09,Heavy Rain,Wednesday,Ganesh Chaturthi,88.6,urban
06-06-2024,Matunga,Andheri,15.09,0.97,19:05,Heavy Rain,Thursday,,170.2,urban
28-02-2022,Eastern Freeway Start,Crawford Market,15.34,0.95,01:48,Fog,Monday,,205,congested
07-09-2024,Matunga,Belapur,22.35,0.85,13:00,Rain,Saturday,Ganesh Chaturthi,76.9,urban
16-12-2023,Thane,Kalyan,23.85,0.88,09:29,Rain,Saturday,,132.9,urban
21-03-2024,Kurla,Andheri,9.64,0.89,07:25,Clear,Thursday,,42.6,urban
12-04-2024,Mohammad Ali Road,Worli,6.19,0.72,11:56,Cloudy,Friday,,17.7,urban
02-05-2022,Kurla,Fort,21.34,0.87,15:51,Clear,Monday,Eid,108.2,urban
25-12-2022,Byculla,Borivali,34.92,0.35,02:15,Cloudy,Sunday,Christmas/NewYear,39,freeway
19-04-2024,Girgaon,Mulund,40.66,0.39,06:56,Clear,Friday,,44.9,freeway
14-01-2023,Fort,Goregaon,34.79,0.37,16:37,Rain,Saturday,,40.4,freeway
22-07-2024,Panvel,Western Express Highway,46.88,0.99,09:02,Rain,Monday,,601.9,congested
15-10-2023,Borivali,Bandra Kurla Complex,29.44,1,16:28,Heavy Rain,Sunday,Navratri,152.9,urban
07-12-2024,Western Express Highway,Worli,10.87,0.77,22:36,Clear,Saturday,,34.4,urban
06-03-2022,Malad,Juhu,12.57,0.73,03:30,Cloudy,Sunday,,34.9,urban
11-11-2023,Lalbaug,Colaba,12.48,0.86,00:46,Cloudy,Saturday,,94.6,congested
23-03-2023,Airoli,Juhu,23.57,0.93,01:32,Cloudy,Thursday,,198,congested
31-08-2022,Malad,Fort,34.34,0.88,02:49,Rain,Wednesday,Ganesh Chaturthi,130.9,urban
13-04-2024,Worli,Western Express Highway,13,0.85,08:49,Cloudy,Saturday,,57.2,urban
25-11-2024,Belapur,Kurla,20.01,0.82,20:00,Clear,Monday,,90.6,urban
07-09-2024,Airoli,Lalbaug,31.14,0.94,05:56,Rain,Saturday,Ganesh Chaturthi,201.5,urban
13-06-2024,Girgaon,Byculla,7.62,0.96,04:15,Rain,Thursday,,82.4,congested
15-11-2022,Ghatkopar,Bhandup,13.91,0.87,23:27,Clear,Tuesday,,116.1,congested
01-11-2024,Bhandup,Malad,15.67,0.97,20:21,Clear,Friday,Diwali,184.4,congested
15-10-2023,Matunga,Chembur,9.92,0.81,11:04,Clear,Sunday,Navratri,28.2,urban
07-09-2024,Powai,Marine Lines,33.39,0.79,06:19,Clear,Saturday,Ganesh Chaturthi,96.5,urban
05-11-2024,Belapur,Matunga,24.12,0.8,15:39,Clear,Tuesday,,78.5,urban
09-04-2023,Worli,Powai,20.85,0.86,07:23,Clear,Sunday,,86.2,urban
04-09-2023,Girgaon,Western Express Highway,21.32,0.86,17:31,Clear,Monday,,108.5,urban
03-10-2024,Bandra Kurla Complex,Panvel,34.54,0.94,18:48,Rain,Thursday,Navratri,187.3,urban
18-03-2022,Nerul,Fort,32.56,0.46,05:55,Rain,Friday,Holi,47.1,freeway
03-12-2023,Girgaon,Western Express Highway,20.91,0.82,16:39,Fog,Sunday,,87.4,urban
22-12-2022,Matunga,Nerul,26.72,0.83,08:37,Clear,Thursday,,112.9,urban
18-03-2022,Nerul,Goregaon,27.65,0.91,20:05,Rain,Friday,,376.7,congested
18-08-2022,Eastern Freeway Start,Matunga,9.53,0.94,10:26,Rain,Thursday,Janmashtami,57.1,urban
06-09-2023,Airoli,Ghatkopar,19.18,0.64,22:59,Rain,Wednesday,Janmashtami,43,freeway
24-11-2022,Bhandup,Thane,12.77,0.99,02:44,Clear,Thursday,,75.6,urban
16-05-2024,Dadar,Andheri,15.33,0.74,03:24,Cloudy,Thursday,,50.2,urban
23-05-2023,Thane,Airoli,10.22,0.78,21:41,Clear,Tuesday,,32.7,urban
23-02-2022,Matunga,Andheri,12.16,0.76,16:41,Rain,Wednesday,,45,urban
18-05-2022,Malad,Dombivli,36.84,0.77,22:31,Clear,Wednesday,,102.5,urban
23-03-2023,Lalbaug,Thane,43.77,0.6,17:53,Storm,Thursday,Ramadan Evenings,88.7,freeway
18-07-2022,Dombivli,Juhu,32.25,0.4,11:18,Cloudy,Monday,,39,freeway
18-03-2024,Bandra,Borivali,28.17,0.36,08:25,Cloudy,Monday,,34.9,freeway
07-03-2024,Eastern Freeway Start,Crawford Market,18.25,0.82,19:46,Clear,Thursday,,78.5,urban
24-11-2022,Juhu,Nerul,26.99,0.32,03:23,Clear,Thursday,,28.1,freeway
12-11-2023,Lalbaug,Colaba,12.43,0.81,10:20,Clear,Sunday,Diwali,47.6,urban
05-07-2022,Western Express Highway,Kalyan,49.8,0.29,11:04,Cloudy,Tuesday,,54.1,freeway
11-03-2024,Powai,Kurla,10.53,0.91,15:07,Clear,Monday,Ramadan Evenings,87.9,congested
12-11-2023,Panvel,Belapur,14.44,0.74,23:27,Cloudy,Sunday,Diwali,47.9,urban
19-01-2022,Kalyan,Nerul,32.63,0.85,00:36,Rain,Wednesday,,127.8,urban
19-04-2023,Matunga,Panvel,35.18,0.64,01:40,Cloudy,Wednesday,,81.5,freeway
11-01-2022,Thane,Byculla,41.61,0.34,03:35,Clear,Tuesday,,44.8,freeway
14-03-2022,Bandra Kurla Complex,Dombivli,41.98,0.81,21:11,Clear,Monday,,147.9,urban
22-08-2023,Fort,Mulund,42.06,0.82,07:10,Heavy Rain,Tuesday,,161.8,freeway
18-09-2023,Belapur,Thane,28.89,0.84,02:13,Cloudy,Monday,,102.5,urban
25-12-2024,Andheri,Ghatkopar,11.66,0.92,07:01,Fog,Wednesday,Christmas/NewYear,168.9,congested
20-06-2022,Thane,Kalyan,19.86,0.92,07:42,Heavy Rain,Monday,,197.1,urban
18-03-2022,Colaba,Western Express Highway,22.27,0.95,12:12,Cloudy,Friday,Holi,161.4,congested
29-01-2024,Bhandup,Worli,24.71,0.88,09:53,Cloudy,Monday,,146.6,urban
07-05-2022,Goregaon,Marine Lines,31.83,0.81,08:43,Cloudy,Saturday,,130.1,urban
10-08-2024,Bhandup,Kurla,14.18,0.97,00:04,Rain,Saturday,,160.8,congested
26-08-2024,Vashi,Crawford Market,27.62,0.64,16:20,Rain,Monday,Janmashtami,48.8,freeway
24-03-2023,Matunga,Colaba,18.14,1,00:32,Clear,Friday,,305,congested
08-05-2023,Chembur,Dombivli,27.64,0.43,21:49,Clear,Monday,,34.6,freeway
06-09-2023,Kurla,Sion,4.14,0.98,14:01,Cloudy,Wednesday,Janmashtami,54.8,congested
03-08-2022,Airoli,Belapur,19.15,0.96,22:48,Rain,Wednesday,,201.7,congested
24-10-2022,Ghatkopar,Worli,15.67,0.94,15:09,Cloudy,Monday,Diwali,213.3,congested
29-10-2024,Marine Lines,Chembur,20.1,0.82,10:28,Clear,Tuesday,,84.9,urban
26-08-2024,Bhandup,Eastern Freeway Start,14.91,0.94,21:46,Heavy Rain,Monday,Janmashtami,130.9,urban
06-03-2023,Eastern Freeway Start,Bhandup,12.34,0.96,04:59,Clear,Monday,,102.6,congested
17-12-2022,Goregaon,Bandra Kurla Complex,13.11,0.8,06:17,Clear,Saturday,,37.1,urban
14-07-2024,Eastern Freeway Start,Kalyan,35.55,0.57,07:09,Rain,Sunday,,58,freeway
07-01-2023,Western Express Highway,Kalyan,54.71,0.36,00:00,Rain,Saturday,,65.9,freeway
02-11-2022,Powai,Andheri,8.91,0.83,21:35,Clear,Wednesday,,27.9,urban
10-08-2022,Fort,CST,1.01,0.95,05:41,Heavy Rain,Wednesday,,6.1,urban
09-01-2024,Colaba,Eastern Freeway Start,22.89,0.88,16:26,Clear,Tuesday,,173.7,congested
22-07-2023,Fort,Powai,33.28,0.84,12:14,Rain,Saturday,,136.6,urban
19-04-2022,Thane,CST,48.64,0.78,12:15,Clear,Tuesday,,155.8,urban
15-08-2024,Worli,Andheri,16.82,0.94,07:58,Storm,Thursday,Independence Day,166.1,urban
15-07-2023,Chembur,Colaba,28.57,0.85,09:00,Cloudy,Saturday,,99.6,urban
01-11-2022,Western Express Highway,Panvel,40.78,0.19,05:42,Clear,Tuesday,,39.6,freeway
21-06-2024,Chembur,Byculla,13.6,0.92,17:47,Heavy Rain,Friday,,204,congested
21-04-2023,Bandra Kurla Complex,Airoli,23.45,0.75,15:38,Clear,Friday,Eid,71.9,urban
15-11-2024,Marine Lines,Bhandup,36.22,0.88,11:48,Clear,Friday,,306.7,congested
20-10-2024,Worli,Andheri,19.96,0.3,21:23,Clear,Sunday,,20.7,freeway
20-07-2024,Bandra Kurla Complex,Panvel,36.93,0.74,19:24,Heavy Rain,Saturday,,97.5,freeway
01-05-2024,Belapur,Juhu,24.88,0.76,22:45,Clear,Wednesday,,78.6,urban
16-08-2024,Nerul,Mohammad Ali Road,27.79,1,14:58,Clear,Friday,,381,congested
25-03-2022,Juhu,Mulund,18.93,0.88,09:00,Clear,Friday,,70.7,urban
18-03-2022,Juhu,Dadar,14.3,0.92,00:27,Clear,Friday,Holi,175,congested
06-09-2023,Dadar,Panvel,42.02,0.79,04:30,Rain,Wednesday,Janmashtami,160.5,urban
31-07-2022,CST,Belapur,27.45,0.31,21:52,Clear,Sunday,,27.3,freeway
09-05-2023,Sion,Ghatkopar,8.31,0.98,13:47,Clear,Tuesday,,69.2,congested
01-03-2024,Byculla,Kurla,13.13,0.75,04:44,Cloudy,Friday,,38.1,urban
18-10-2022,Belapur,Nerul,0.82,0.81,16:47,Clear,Tuesday,,2.5,urban
21-04-2023,Nerul,Bandra,24.69,0.87,18:19,Rain,Friday,Eid,116.1,urban
08-03-2023,Western Express Highway,Juhu,3.66,0.93,15:45,Heavy Rain,Wednesday,Holi,23.2,urban
18-04-2022,CST,Chembur,21.43,0.97,02:25,Cloudy,Monday,,197.7,congested
27-01-2022,Western Express Highway,Colaba,27.64,0.25,11:55,Clear,Thursday,,26.7,freeway
05-12-2022,Lalbaug,Bhandup,31.83,0.48,05:49,Clear,Monday,,42.7,freeway
07-08-2023,Powai,CST,24.19,0.85,23:11,Cloudy,Monday,,89.2,urban
07-09-2024,Andheri,Bandra,9.26,0.87,21:15,Rain,Saturday,Ganesh Chaturthi,46.9,urban
28-04-2023,Lalbaug,Byculla,1.15,0.98,16:41,Clear,Friday,,9.8,congested
25-12-2023,Worli,Matunga,6.42,0.79,03:34,Clear,Monday,Christmas/NewYear,22.8,urban
15-08-2023,Bhandup,Kurla,17.59,0.95,03:39,Heavy Rain,Tuesday,Independence Day,113.4,urban
24-02-2023,Chembur,Mulund,18.5,0.38,06:15,Clear,Friday,,20.1,freeway
19-09-2023,Dombivli,Panvel,14.8,1,05:05,Heavy Rain,Tuesday,Ganesh Chaturthi,119.9,urban
25-03-2024,Lalbaug,Powai,19.11,1,11:02,Storm,Monday,Holi,329.7,congested
18-08-2024,Airoli,Dadar,34.39,0.67,14:44,Heavy Rain,Sunday,,64.7,freeway
16-09-2024,Goregaon,Girgaon,33.94,0.71,13:02,Heavy Rain,Monday,,89.4,freeway
19-09-2023,Dadar,Goregaon,21.36,0.94,10:15,Clear,Tuesday,Ganesh Chaturthi,136.2,urban
17-05-2024,Ghatkopar,Sion,8.22,0.83,13:30,Cloudy,Friday,,25.5,urban
10-01-2023,Girgaon,Fort,2.86,0.82,10:09,Cloudy,Tuesday,,12.2,urban
24-10-2024,Juhu,Byculla,13.62,0.75,12:42,Clear,Thursday,,38.5,urban
09-02-2022,Ghatkopar,Worli,17.1,0.75,12:48,Clear,Wednesday,,49.7,urban
05-09-2022,Fort,Chembur,23.32,0.84,04:39,Rain,Monday,,123.5,urban
21-10-2024,Borivali,Mulund,17,0.84,17:07,Clear,Monday,,72.5,urban
17-07-2023,Dombivli,Eastern Freeway Start,29.97,0.65,21:50,Rain,Monday,,54.4,freeway
25-12-2022,Matunga,Juhu,11.74,1,10:36,Storm,Sunday,Christmas/NewYear,68,urban
09-06-2023,Mohammad Ali Road,Juhu,24.01,0.76,20:54,Cloudy,Friday,,90.1,urban
28-06-2024,Sion,Fort,14.11,0.79,05:53,Rain,Friday,,57.7,urban
21-08-2022,Nerul,Byculla,23.02,0.99,09:17,Heavy Rain,Sunday,,345.3,congested
03-04-2022,Airoli,Nerul,17.22,0.97,10:29,Clear,Sunday,Ramadan Evenings,164.8,congested
10-04-2024,Worli,Malad,24.35,0.96,14:01,Rain,Wednesday,Eid,296.1,congested
27-09-2023,Malad,Bhandup,13.24,0.98,16:17,Rain,Wednesday,,116.9,congested
12-08-2024,Matunga,Bhandup,21.01,0.79,06:01,Rain,Monday,,91.3,urban
14-05-2023,Powai,Marine Lines,30.13,0.4,09:00,Clear,Sunday,,39.9,freeway
21-04-2023,Powai,Belapur,20.57,0.95,01:50,Heavy Rain,Friday,Eid,77.2,urban
15-08-2023,Dadar,Bandra Kurla Complex,6.71,0.82,09:51,Rain,Tuesday,Independence Day,34.4,urban
22-11-2023,Panvel,Thane,42.8,0.81,15:12,Clear,Wednesday,,140.6,urban
12-09-2023,Bandra Kurla Complex,Byculla,7.7,0.82,12:43,Cloudy,Tuesday,,24.8,urban
14-04-2023,Mohammad Ali Road,Dadar,8.47,0.93,12:10,Cloudy,Friday,,70.1,congested
25-05-2023,Bandra Kurla Complex,Malad,16.22,0.74,00:36,Clear,Thursday,,48.1,urban
08-03-2023,Dadar,Mohammad Ali Road,8.66,0.94,06:36,Clear,Wednesday,Holi,64.2,congested
13-12-2023,Fort,Matunga,11.75,0.8,06:34,Clear,Wednesday,,38.7,urban
