time_of_day,day_of_week,weather,ors_time,congestion_index,actual_travel_time,distance_km,congestion_index
Night,Wednesday,Clear,21.23,0.91,19.25,38.3,0.85
Morning Peak,Saturday,Clear,46.34,1.43,66.19,23.85,0.92
Morning Peak,Sunday,Clear,45.39,1.43,65.06,6.92,1.0
Evening Peak,Saturday,Clear,17.66,1.36,24.05,32.56,0.27
Evening Peak,Friday,Clear,55.74,1.48,82.53,2.25,0.94
Evening Peak,Sunday,Clear,13.22,1.22,16.07,21.11,0.44
Midday,Sunday,Rainy,12.75,1.29,18.83,27.36,0.54
Night,Monday,Rainy,19.37,0.81,17.82,18.76,0.82
Night,Sunday,Rainy,55.47,1.06,69.55,24.62,0.85
Night,Thursday,Clear,36.0,1.07,38.46,54.26,0.47
Night,Tuesday,Rainy,49.4,0.96,60.37,50.28,0.38
Evening Peak,Tuesday,Rainy,21.39,1.25,30.02,17.78,1.0
Midday,Tuesday,Clear,34.51,1.17,40.36,33.66,0.57
Midday,Thursday,Clear,27.91,1.19,33.18,3.63,0.85
Evening Peak,Saturday,Rainy,51.39,1.54,95.84,12.02,1.0
Midday,Monday,Cloudy,11.13,1.17,12.97,12.27,0.79
Evening Peak,Sunday,Clear,22.19,1.36,30.28,12.08,0.81
Night,Thursday,Clear,17.63,1.05,18.54,19.66,0.96
Evening Peak,Tuesday,Clear,52.96,1.59,84.33,29.24,1.0
Night,Friday,Rainy,33.38,0.99,37.07,10.03,0.8
Night,Wednesday,Cloudy,30.21,1.06,32.09,1.05,1.0
Morning Peak,Sunday,Clear,32.47,1.6,51.94,14.22,0.89
Evening Peak,Thursday,Clear,58.6,1.48,86.48,26.1,0.44
Morning Peak,Thursday,Cloudy,52.51,1.64,86.34,28.46,0.93
Evening Peak,Monday,Cloudy,45.32,1.48,67.16,23.67,0.8
Evening Peak,Monday,Clear,24.52,1.33,32.58,51.31,0.76
Morning Peak,Thursday,Rainy,18.26,1.59,34.62,44.67,0.79
Morning Peak,Tuesday,Clear,56.07,1.6,89.55,29.6,0.81
Evening Peak,Wednesday,Clear,31.15,1.33,41.31,24.88,1.0
Midday,Sunday,Cloudy,23.94,1.1,26.45,3.14,0.81
Night,Monday,Clear,33.55,1.03,34.51,46.73,0.74
Morning Peak,Sunday,Rainy,55.89,1.59,100.09,10.28,0.77
Night,Tuesday,Rainy,29.35,0.84,27.67,3.32,0.23
Midday,Sunday,Rainy,38.13,1.25,54.31,9.92,0.93
Midday,Friday,Clear,50.15,1.26,63.43,38.77,0.52
Midday,Monday,Clear,31.36,1.14,35.74,10.45,0.81
Morning Peak,Tuesday,Clear,21.68,1.4,30.44,11.94,0.57
Midday,Tuesday,Cloudy,59.73,1.28,76.71,36.16,0.38
Morning Peak,Wednesday,Rainy,57.83,1.74,115.9,48.02,0.76
Midday,Wednesday,Rainy,52.17,1.07,64.69,5.16,0.94
Night,Friday,Rainy,44.42,0.83,45.24,17.99,0.92
Night,Tuesday,Rainy,24.74,0.93,25.63,39.54,0.5
Evening Peak,Saturday,Rainy,55.67,1.47,91.38,26.44,0.3
Night,Tuesday,Clear,23.78,0.85,20.27,8.04,0.95
Evening Peak,Wednesday,Clear,50.04,1.41,70.32,34.65,0.95
Night,Saturday,Cloudy,55.91,0.93,51.87,16.19,0.98
Morning Peak,Monday,Clear,40.15,1.75,70.07,1.03,0.95
Night,Monday,Clear,50.15,0.93,46.59,21.74,1.0
Evening Peak,Sunday,Cloudy,49.58,1.41,70.09,2.26,0.72
Evening Peak,Thursday,Rainy,19.66,1.58,35.38,30.38,0.42
Midday,Wednesday,Clear,43.4,1.09,47.3,37.76,0.62
Morning Peak,Thursday,Rainy,14.67,1.44,27.01,5.46,0.42
Night,Saturday,Rainy,35.39,1.04,45.11,10.8,0.77
Midday,Wednesday,Clear,18.11,1.08,19.62,26.71,0.71
Night,Friday,Clear,30.82,1.05,32.34,22.16,0.96
Night,Tuesday,Clear,51.65,0.83,42.8,9.3,0.83
Midday,Friday,Rainy,59.36,1.03,76.43,21.48,0.81
Midday,Saturday,Rainy,25.9,1.27,38.63,24.37,0.78
Midday,Wednesday,Rainy,36.6,1.16,48.6,20.82,0.63
Midday,Saturday,Cloudy,35.56,1.22,43.23,30.1,0.82
Midday,Tuesday,Clear,57.72,1.07,61.62,6.97,0.86
Night,Monday,Clear,33.93,0.85,28.84,34.5,0.81
Midday,Monday,Rainy,44.96,1.25,62.26,27.98,0.49
Morning Peak,Saturday,Clear,56.09,1.48,82.97,45.36,0.88
Evening Peak,Thursday,Clear,28.67,1.38,39.62,11.34,0.92
Midday,Wednesday,Clear,55.11,1.01,55.57,8.14,0.76
Midday,Wednesday,Clear,55.87,1.12,62.34,30.4,0.95
Night,Monday,Clear,56.53,1.03,58.29,38.96,0.55
Midday,Sunday,Clear,23.52,1.25,29.32,19.28,0.9
Midday,Friday,Clear,30.02,1.21,36.31,11.41,0.98
Midday,Sunday,Clear,53.52,1.21,64.63,18.24,0.95
Night,Tuesday,Rainy,27.96,0.95,31.87,26.36,0.74
Midday,Friday,Rainy,40.01,1.16,56.46,21.62,0.9
Evening Peak,Friday,Clear,15.9,1.5,23.81,13.66,0.82
Night,Saturday,Rainy,12.81,0.87,14.33,35.03,0.43
Evening Peak,Monday,Clear,30.6,1.29,39.55,24.89,0.95
Night,Sunday,Cloudy,38.95,1.08,42.26,22.44,0.83
Midday,Sunday,Rainy,29.63,1.01,38.14,33.53,0.88
Evening Peak,Monday,Rainy,38.89,1.26,57.86,47.19,0.96
Night,Sunday,Rainy,35.75,0.97,41.13,31.47,0.85
Morning Peak,Monday,Clear,44.29,1.67,73.91,6.69,0.88
Midday,Saturday,Clear,42.48,1.16,49.33,8.47,0.3
Night,Thursday,Rainy,31.21,0.91,32.04,23.0,0.94
Morning Peak,Friday,Clear,31.25,1.79,55.91,25.55,0.66
Night,Saturday,Clear,17.04,1.01,17.23,41.74,0.77
Morning Peak,Wednesday,Rainy,35.66,1.72,70.45,14.43,0.86
Midday,Tuesday,Rainy,39.36,1.01,51.19,36.51,0.82
Evening Peak,Thursday,Rainy,33.82,1.29,49.39,5.6,0.78
Morning Peak,Wednesday,Clear,26.29,1.49,39.09,29.95,0.76
Night,Friday,Rainy,46.08,0.85,50.96,47.33,0.92
Midday,Sunday,Clear,13.73,1.02,14.03,26.71,0.56
Morning Peak,Monday,Clear,55.72,1.41,78.71,7.35,0.81
Night,Friday,Cloudy,11.03,0.96,10.59,36.41,0.87
Night,Saturday,Clear,58.12,1.01,58.62,29.16,0.57
Night,Tuesday,Clear,33.12,1.03,34.18,7.7,0.96
Morning Peak,Saturday,Cloudy,30.63,1.32,40.48,11.13,1.0
Morning Peak,Thursday,Clear,22.82,1.51,34.55,41.68,0.45
Morning Peak,Thursday,Clear,10.5,1.36,14.3,36.32,0.2
Evening Peak,Tuesday,Clear,23.74,1.37,32.58,22.41,0.83
Morning Peak,Wednesday,Clear,15.47,1.52,23.47,37.35,0.35
Morning Peak,Wednesday,Clear,42.99,1.55,66.6,10.16,0.87
Morning Peak,Thursday,Rainy,25.95,1.75,54.43,24.33,0.91
Evening Peak,Thursday,Rainy,48.36,1.52,87.69,26.07,0.61
Morning Peak,Sunday,Clear,20.35,1.62,32.93,21.5,0.74
Night,Monday,Rainy,55.01,1.07,66.53,15.18,0.92
Morning Peak,Sunday,Clear,36.15,1.64,59.26,15.09,0.97
Night,Sunday,Clear,15.73,1.05,16.44,15.34,0.95
Night,Wednesday,Rainy,30.04,0.97,35.88,22.35,0.85
Night,Tuesday,Clear,20.34,0.96,19.47,23.85,0.88
Evening Peak,Wednesday,Stormy,19.98,1.49,42.81,9.64,0.89
Evening Peak,Monday,Clear,35.32,1.21,42.66,6.19,0.72
Evening Peak,Saturday,Rainy,43.59,1.48,75.56,21.34,0.87
Morning Peak,Thursday,Clear,55.58,1.77,98.23,34.92,0.35
Night,Thursday,Clear,35.11,1.01,35.61,40.66,0.39
Evening Peak,Monday,Clear,58.29,1.21,70.81,34.79,0.37
Evening Peak,Sunday,Rainy,57.08,1.35,88.92,46.88,0.99
Morning Peak,Tuesday,Cloudy,53.25,1.7,90.79,29.44,1.0
Evening Peak,Thursday,Rainy,35.0,1.58,61.7,10.87,0.77
Morning Peak,Friday,Clear,17.05,1.49,25.31,12.57,0.73
Midday,Sunday,Clear,20.9,1.25,26.17,12.48,0.86
Evening Peak,Thursday,Clear,42.38,1.55,65.5,23.57,0.93
Midday,Friday,Cloudy,31.09,1.04,32.24,34.34,0.88
Morning Peak,Monday,Rainy,17.34,1.72,35.97,13.0,0.85
Night,Monday,Clear,33.95,0.9,30.46,20.01,0.82
Evening Peak,Sunday,Cloudy,10.87,1.44,15.63,31.14,0.94
Morning Peak,Thursday,Clear,46.69,1.57,73.29,7.62,0.96
Night,Wednesday,Cloudy,13.68,1.0,13.66,13.91,0.87
Night,Friday,Rainy,41.46,1.02,49.26,15.67,0.97
Midday,Tuesday,Clear,49.65,1.13,56.22,9.92,0.81
Morning Peak,Thursday,Clear,16.63,1.74,29.01,33.39,0.79
Night,Tuesday,Stormy,35.93,1.04,56.67,24.12,0.8
Evening Peak,Thursday,Rainy,48.95,1.51,92.26,20.85,0.86
Evening Peak,Wednesday,Cloudy,23.03,1.38,31.86,21.32,0.86
Midday,Wednesday,Cloudy,18.15,1.01,18.35,34.54,0.94
Night,Sunday,Clear,26.84,0.95,25.44,32.56,0.46
Morning Peak,Sunday,Cloudy,37.73,1.75,66.01,20.91,0.82
Evening Peak,Wednesday,Rainy,38.76,1.28,57.7,26.72,0.83
Night,Saturday,Cloudy,16.54,1.09,18.11,27.65,0.91
Night,Wednesday,Clear,32.88,1.04,34.27,9.53,0.94
Midday,Monday,Clear,23.41,1.21,28.4,19.18,0.64
Evening Peak,Monday,Clear,52.1,1.47,76.63,12.77,0.99
Evening Peak,Saturday,Clear,25.68,1.43,36.84,15.33,0.74
Morning Peak,Friday,Clear,51.94,1.66,86.23,10.22,0.78
Evening Peak,Tuesday,Clear,31.43,1.37,43.02,12.16,0.76
Morning Peak,Thursday,Clear,46.33,1.72,79.81,36.84,0.77
Evening Peak,Thursday,Clear,35.5,1.48,52.49,43.77,0.6
Midday,Saturday,Cloudy,41.1,1.23,50.61,32.25,0.4
Evening Peak,Monday,Clear,29.77,1.52,45.16,28.17,0.36
Morning Peak,Sunday,Clear,48.41,1.35,65.16,18.25,0.82
Morning Peak,Thursday,Clear,31.26,1.33,41.51,26.99,0.32
Midday,Monday,Clear,32.87,1.24,40.77,12.43,0.81
Evening Peak,Friday,Cloudy,35.88,1.3,46.78,49.8,0.29
Evening Peak,Tuesday,Clear,51.59,1.43,73.92,10.53,0.91
Midday,Friday,Rainy,42.97,1.13,60.07,14.44,0.74
Evening Peak,Saturday,Rainy,27.46,1.21,38.23,32.63,0.85
Evening Peak,Wednesday,Rainy,43.52,1.22,65.91,35.18,0.64
Morning Peak,Wednesday,Cloudy,42.12,1.71,72.18,41.61,0.34
Evening Peak,Wednesday,Rainy,56.55,1.44,90.03,41.98,0.81
Evening Peak,Friday,Cloudy,52.07,1.41,73.4,42.06,0.82
Midday,Thursday,Clear,42.37,1.28,54.38,28.89,0.84
Midday,Tuesday,Clear,27.08,1.05,28.48,11.66,0.92
Night,Wednesday,Rainy,48.98,0.88,48.57,19.86,0.92
Morning Peak,Saturday,Clear,38.76,1.68,65.05,22.27,0.95
Evening Peak,Saturday,Clear,59.26,1.51,89.49,24.71,0.88
Evening Peak,Wednesday,Rainy,22.38,1.36,35.01,31.83,0.81
Night,Wednesday,Rainy,13.98,1.09,19.04,14.18,0.97
Evening Peak,Tuesday,Clear,13.49,1.58,21.26,27.62,0.64
Morning Peak,Wednesday,Cloudy,42.0,1.31,54.86,18.14,1.0
Night,Tuesday,Clear,56.96,0.85,48.52,27.64,0.43
Morning Peak,Saturday,Rainy,10.1,1.71,19.22,4.14,0.98
Night,Wednesday,Clear,46.29,0.9,41.69,19.15,0.96
Night,Friday,Clear,42.85,0.83,35.51,15.67,0.94
Midday,Sunday,Rainy,46.62,1.24,65.52,20.1,0.82
Morning Peak,Friday,Clear,27.77,1.53,42.41,14.91,0.94
Evening Peak,Saturday,Cloudy,51.02,1.4,71.28,12.34,0.96
Evening Peak,Tuesday,Clear,12.24,1.27,15.59,13.11,0.8
Morning Peak,Friday,Clear,47.77,1.63,77.89,35.55,0.57
Evening Peak,Tuesday,Cloudy,23.35,1.42,33.17,54.71,0.36
Evening Peak,Friday,Clear,33.84,1.28,43.41,8.91,0.83
Morning Peak,Friday,Clear,51.13,1.47,75.17,1.01,0.95
Night,Tuesday,Clear,23.57,0.98,23.07,22.89,0.88
Morning Peak,Thursday,Cloudy,19.26,1.76,33.95,33.28,0.84
Night,Friday,Rainy,44.07,1.08,55.56,48.64,0.78
Evening Peak,Wednesday,Stormy,36.67,1.32,62.83,16.82,0.94
Evening Peak,Sunday,Clear,35.72,1.49,53.37,28.57,0.85
Evening Peak,Saturday,Clear,22.84,1.51,34.49,40.78,0.19
Midday,Thursday,Clear,11.74,1.24,14.59,13.6,0.92
Night,Tuesday,Rainy,30.51,0.97,37.12,23.45,0.75
Midday,Thursday,Clear,15.33,1.0,15.38,36.22,0.88
Midday,Monday,Stormy,55.3,1.23,99.73,19.96,0.3
Morning Peak,Monday,Clear,12.06,1.35,16.32,36.93,0.74
Midday,Friday,Stormy,31.58,1.04,51.33,24.88,0.76
Morning Peak,Friday,Rainy,12.61,1.6,22.36,27.79,1.0
Morning Peak,Wednesday,Rainy,14.78,1.79,30.56,18.93,0.88
Midday,Sunday,Clear,42.94,1.07,46.07,14.3,0.92
Night,Saturday,Clear,42.36,0.99,42.09,42.02,0.79
Night,Thursday,Clear,11.65,0.89,10.38,27.45,0.31
Night,Monday,Clear,10.06,1.07,10.76,8.31,0.98
Night,Friday,Clear,13.94,0.98,13.63,13.13,0.75
Night,Saturday,Cloudy,48.15,0.86,41.52,0.82,0.81
Midday,Thursday,Clear,39.23,1.08,42.31,24.69,0.87
Midday,Friday,Cloudy,11.91,1.13,13.45,3.66,0.93
Evening Peak,Friday,Cloudy,34.4,1.25,42.97,21.43,0.97
Night,Monday,Clear,45.6,0.82,37.56,27.64,0.25
Midday,Monday,Stormy,53.45,1.2,97.77,31.83,0.48
Evening Peak,Friday,Clear,56.7,1.36,77.28,24.19,0.85
Night,Tuesday,Clear,26.37,1.02,26.84,9.26,0.87
Morning Peak,Friday,Clear,16.79,1.36,22.75,1.15,0.98
Evening Peak,Saturday,Rainy,21.85,1.44,38.96,6.42,0.79
Midday,Friday,Clear,48.81,1.13,55.3,17.59,0.95
Morning Peak,Wednesday,Clear,58.57,1.33,77.85,18.5,0.38
Morning Peak,Sunday,Cloudy,33.32,1.57,52.39,14.8,1.0
Morning Peak,Wednesday,Clear,25.27,1.34,33.89,19.11,1.0
Evening Peak,Wednesday,Cloudy,31.46,1.53,48.17,34.39,0.67
Midday,Tuesday,Rainy,25.24,1.19,34.49,33.94,0.71
Morning Peak,Tuesday,Stormy,22.82,1.58,53.27,21.36,0.94
Night,Friday,Clear,39.69,0.84,33.34,8.22,0.83
Morning Peak,Wednesday,Clear,10.79,1.44,15.57,2.86,0.82
Morning Peak,Tuesday,Clear,22.98,1.55,35.53,13.62,0.75
Evening Peak,Monday,Clear,43.07,1.45,62.59,17.1,0.75
Evening Peak,Friday,Clear,11.6,1.27,14.77,23.32,0.84
Midday,Saturday,Clear,14.16,1.0,14.2,17.0,0.84
Night,Sunday,Stormy,24.67,0.9,34.28,29.97,0.65
Evening Peak,Thursday,Rainy,53.89,1.39,83.09,11.74,1.0
Morning Peak,Friday,Clear,48.24,1.39,67.17,24.01,0.76
Midday,Thursday,Clear,11.11,1.15,12.75,14.11,0.79
Morning Peak,Wednesday,Clear,35.09,1.47,51.55,23.02,0.99
Morning Peak,Sunday,Clear,23.73,1.53,36.26,17.22,0.97
Evening Peak,Thursday,Cloudy,42.43,1.34,56.82,24.35,0.96
Midday,Wednesday,Cloudy,46.08,1.19,54.77,13.24,0.98
Night,Monday,Rainy,53.14,0.81,53.72,21.01,0.79
Night,Thursday,Rainy,33.77,0.85,33.07,30.13,0.4
Evening Peak,Sunday,Cloudy,59.72,1.37,82.0,20.57,0.95
Evening Peak,Friday,Cloudy,59.0,1.34,79.21,6.71,0.82
Midday,Wednesday,Clear,54.11,1.12,60.47,42.8,0.81
Night,Friday,Cloudy,38.74,1.04,40.34,7.7,0.82
Night,Sunday,Clear,29.9,1.07,31.87,8.47,0.93
Night,Tuesday,Clear,28.22,0.87,24.68,16.22,0.74
Morning Peak,Wednesday,Clear,10.61,1.72,18.22,8.66,0.94
Night,Thursday,Clear,22.46,0.94,21.06,11.75,0.8
Morning Peak,Wednesday,Rainy,45.94,1.44,85.13,9.94,0.96
Midday,Friday,Clear,40.18,1.3,52.06,21.29,0.86
Morning Peak,Monday,Clear,55.82,1.71,95.59,34.73,0.68
Midday,Wednesday,Clear,12.5,1.3,16.23,24.94,0.85
Night,Thursday,Cloudy,17.76,0.85,15.11,39.17,0.2
Night,Tuesday,Clear,49.46,0.84,41.7,0.79,0.95
Midday,Saturday,Stormy,27.93,1.15,46.98,20.82,0.75
Evening Peak,Monday,Rainy,15.92,1.46,25.64,17.93,0.37
Midday,Tuesday,Cloudy,59.82,1.05,62.89,29.99,0.35
Evening Peak,Wednesday,Cloudy,49.36,1.54,76.22,17.1,0.74
Morning Peak,Friday,Clear,30.44,1.57,47.66,35.18,0.94
Morning Peak,Sunday,Clear,51.17,1.51,77.03,10.03,0.89
Morning Peak,Friday,Rainy,44.03,1.6,83.23,17.02,0.94
Night,Thursday,Clear,49.5,0.99,49.03,11.13,0.79
Morning Peak,Friday,Clear,50.76,1.32,67.07,31.01,0.77
Evening Peak,Monday,Cloudy,14.24,1.6,22.78,46.2,0.9
Morning Peak,Friday,Clear,41.15,1.48,60.98,26.26,0.78
Midday,Thursday,Rainy,10.34,1.02,13.62,51.76,0.61
Midday,Saturday,Clear,12.17,1.26,15.29,32.59,0.53
Night,Wednesday,Rainy,55.2,1.1,75.52,6.83,0.78
Midday,Sunday,Cloudy,36.38,1.24,45.29,13.2,0.84
Evening Peak,Wednesday,Rainy,46.8,1.54,83.64,28.66,0.28
Morning Peak,Friday,Clear,51.93,1.61,83.75,19.49,0.77
Night,Tuesday,Cloudy,57.48,1.08,61.89,30.01,0.86
Morning Peak,Wednesday,Rainy,53.47,1.32,85.62,44.29,0.54
Morning Peak,Saturday,Clear,34.17,1.68,57.51,3.92,0.95
Evening Peak,Friday,Clear,26.8,1.47,39.35,44.24,0.83
Midday,Sunday,Cloudy,17.72,1.01,17.99,3.78,1.0
Midday,Thursday,Rainy,30.02,1.16,42.59,36.46,0.85
Morning Peak,Saturday,Clear,28.32,1.56,44.12,32.04,0.91
Night,Friday,Rainy,37.98,1.01,42.27,31.12,0.6
Midday,Saturday,Clear,43.28,1.02,44.28,8.81,0.72
Night,Wednesday,Clear,58.92,1.04,61.37,36.59,0.77
Midday,Sunday,Rainy,46.42,1.04,54.93,23.14,0.84
Night,Thursday,Cloudy,42.19,0.93,39.05,28.42,0.53
Evening Peak,Friday,Rainy,26.75,1.55,50.27,17.65,0.99
Night,Monday,Stormy,11.73,0.97,16.13,6.72,0.82
Evening Peak,Thursday,Clear,24.41,1.35,32.99,11.46,0.8
Evening Peak,Monday,Clear,48.42,1.22,59.04,13.42,0.81
Night,Saturday,Clear,20.26,1.0,20.3,23.65,0.8
Evening Peak,Tuesday,Rainy,45.61,1.59,82.77,38.38,0.45
Morning Peak,Thursday,Rainy,38.99,1.76,85.89,50.07,0.94
Evening Peak,Saturday,Clear,18.59,1.49,27.65,4.08,0.63
Midday,Monday,Clear,23.08,1.03,23.81,16.79,0.95
Night,Wednesday,Clear,34.82,0.87,30.35,16.62,0.77
Morning Peak,Wednesday,Rainy,30.92,1.39,51.6,7.42,0.93
Night,Tuesday,Clear,48.93,0.91,44.36,38.38,0.74
Midday,Thursday,Clear,46.72,1.07,50.02,19.27,0.88
Midday,Thursday,Cloudy,38.73,1.07,41.57,9.78,0.97
Midday,Thursday,Rainy,51.11,1.19,70.38,22.4,0.75
Evening Peak,Saturday,Cloudy,38.13,1.33,50.62,14.95,0.94
Evening Peak,Sunday,Cloudy,58.22,1.47,85.63,5.37,0.83
Night,Sunday,Clear,20.86,1.08,22.62,26.91,0.93
Night,Tuesday,Cloudy,45.71,0.99,45.32,58.39,0.4
Morning Peak,Thursday,Rainy,28.5,1.68,54.08,54.27,0.56
Morning Peak,Saturday,Stormy,23.95,1.68,59.53,33.12,0.32
Night,Wednesday,Clear,19.02,0.9,17.1,30.15,0.51
Evening Peak,Monday,Clear,37.63,1.21,45.38,12.53,0.87
Midday,Saturday,Clear,20.77,1.02,21.12,11.48,0.94
Night,Sunday,Clear,20.02,0.88,17.71,40.16,0.52
Morning Peak,Sunday,Rainy,59.53,1.64,120.74,21.39,0.96
Evening Peak,Wednesday,Clear,50.09,1.56,78.27,17.47,0.57
Night,Wednesday,Clear,47.41,1.09,51.57,7.4,0.97
Night,Monday,Clear,49.7,0.81,40.15,34.42,0.97
Evening Peak,Wednesday,Clear,58.45,1.6,93.28,22.5,0.83
Night,Tuesday,Clear,38.66,0.9,34.67,10.06,0.86
Evening Peak,Monday,Clear,21.01,1.54,32.3,14.5,0.97
Midday,Wednesday,Clear,53.11,1.05,55.98,34.96,1.0
Evening Peak,Friday,Rainy,47.14,1.23,71.26,33.17,0.4
Evening Peak,Saturday,Cloudy,30.72,1.35,41.51,27.5,1.0
Evening Peak,Wednesday,Clear,33.68,1.54,51.99,19.88,0.81
Night,Tuesday,Stormy,30.56,0.87,36.17,28.14,0.26
Night,Thursday,Cloudy,56.5,0.85,47.81,34.12,0.33
Evening Peak,Wednesday,Rainy,27.18,1.56,51.81,26.23,0.29
Night,Sunday,Clear,58.17,1.08,62.92,58.56,0.4
Morning Peak,Sunday,Clear,55.51,1.31,72.52,11.95,1.0
Morning Peak,Sunday,Clear,41.53,1.66,69.09,11.68,0.67
Night,Thursday,Clear,38.99,0.89,34.81,33.45,0.62
Night,Sunday,Clear,28.5,0.91,26.01,14.39,0.9
Evening Peak,Friday,Rainy,10.92,1.39,19.41,14.62,0.97
Midday,Wednesday,Clear,16.38,1.13,18.48,1.83,0.95
Night,Sunday,Clear,47.71,0.95,45.54,41.94,0.93
Morning Peak,Monday,Cloudy,33.58,1.59,53.43,7.05,0.91
Evening Peak,Thursday,Clear,17.49,1.39,24.25,15.99,0.66
Night,Friday,Cloudy,23.2,1.01,23.44,25.16,0.31
Morning Peak,Monday,Cloudy,57.39,1.66,95.23,18.62,0.82
Morning Peak,Monday,Rainy,28.36,1.52,50.46,41.03,0.89
Midday,Monday,Stormy,55.38,1.04,78.73,12.02,0.35
Evening Peak,Monday,Clear,25.23,1.46,36.74,30.9,0.31
Evening Peak,Wednesday,Cloudy,37.16,1.51,56.08,8.16,0.89
Midday,Sunday,Rainy,11.02,1.19,16.48,25.91,0.68
Midday,Saturday,Rainy,36.09,1.18,48.21,13.26,0.83
Evening Peak,Wednesday,Clear,41.85,1.29,54.06,20.66,0.9
Evening Peak,Wednesday,Rainy,21.72,1.46,36.44,3.42,0.83
Night,Friday,Clear,38.95,0.9,35.07,23.0,0.57
Night,Friday,Rainy,42.36,1.08,51.05,16.83,0.77
Midday,Sunday,Clear,44.34,1.2,53.04,47.04,0.52
Night,Saturday,Cloudy,48.82,0.88,43.13,4.14,0.89
Morning Peak,Friday,Rainy,25.57,1.54,45.32,26.06,0.61
Night,Sunday,Clear,38.39,1.05,40.46,41.09,0.55
Night,Sunday,Clear,59.08,0.9,53.21,32.19,0.91
Morning Peak,Tuesday,Clear,54.91,1.56,85.8,24.82,0.85
Midday,Saturday,Stormy,57.63,1.2,98.74,14.44,0.95
Morning Peak,Friday,Rainy,29.31,1.68,54.7,15.85,0.92
Night,Saturday,Rainy,49.35,0.85,53.59,9.62,0.76
Midday,Wednesday,Cloudy,40.99,1.17,47.95,28.2,0.92
Night,Wednesday,Rainy,14.14,1.07,18.26,7.03,0.81
Morning Peak,Saturday,Clear,51.2,1.78,91.35,16.12,1.0
Morning Peak,Tuesday,Clear,43.86,1.63,71.4,3.79,0.78
Night,Tuesday,Rainy,19.95,1.1,26.6,7.78,0.99
Evening Peak,Saturday,Clear,13.99,1.43,19.98,14.92,0.83
Evening Peak,Friday,Clear,51.85,1.38,71.4,35.91,0.52
Morning Peak,Thursday,Clear,13.95,1.58,21.97,36.39,0.91
Morning Peak,Tuesday,Clear,14.57,1.36,19.78,2.77,1.0
Evening Peak,Monday,Rainy,31.37,1.36,50.12,6.27,0.84
Evening Peak,Wednesday,Clear,16.74,1.38,23.16,27.66,0.96
Night,Saturday,Rainy,55.68,1.05,72.46,8.04,0.9
Night,Monday,Clear,33.51,1.03,34.44,25.87,0.83
Evening Peak,Saturday,Clear,38.46,1.44,55.4,32.03,0.79
Night,Sunday,Clear,56.41,0.9,51.0,7.27,0.33
Night,Wednesday,Rainy,36.51,0.86,37.08,20.58,0.78
Midday,Wednesday,Cloudy,27.68,1.1,30.57,42.0,0.98
Night,Tuesday,Rainy,49.86,1.0,62.68,40.04,0.49
